One	CD	One
,	,	,
IB	NNP	IB
.	.	.
''	''	''
This	DT	This
letter	NN	letter
was	VBD	be
sent	VBN	send
,	,	,
and	CC	and
Christina	NNP	Christina
received	VBD	receive
it	PRP	it
in	IN	in
due	JJ	due
time	NN	time
.	.	.
In	IN	In
the	DT	the
course	NN	course
of	IN	of
the	DT	the
following	JJ	following
November	NNP	November
,	,	,
her	PRP$	her
banns	NN	banns
were	VBD	be
published	VBN	publish
in	IN	in
the	DT	the
church	NN	church
on	IN	on
the	DT	the
heath	NN	heath
,	,	,
and	CC	and
also	RB	also
in	IN	in
Copenhagen	NNP	Copenhagen
,	,	,
where	WRB	where
the	DT	the
bridegroom	NN	bridegroom
lived	VBD	live
.	.	.
She	PRP	She
was	VBD	be
taken	VBN	take
to	TO	to
Copenhagen	NNP	Copenhagen
under	IN	under
the	DT	the
protection	NN	protection
of	IN	of
her	PRP$	her
future	JJ	future
mother-in-law	NN	mother-in-law
,	,	,
because	IN	because
the	DT	the
bridegroom	NN	bridegroom
could	MD	could
not	RB	not
spare	VB	spare
time	NN	time
from	IN	from
his	PRP$	his
numerous	JJ	numerous
occupations	NNS	occupation
for	IN	for
a	DT	a
journey	NN	journey
so	RB	so
far	RB	far
into	IN	into
Jutland	NNP	Jutland
.	.	.
On	IN	On
the	DT	the
journey	NN	journey
,	,	,
Christina	NNP	Christina
met	VBD	meet
her	PRP$	her
father	NN	father
at	IN	at
one	CD	one
of	IN	of
the	DT	the
villages	NNS	village
through	IN	through
which	WDT	which
they	PRP	they
passed	VBD	pass
,	,	,
and	CC	and
here	RB	here
he	PRP	he
took	VBD	take
leave	NN	leave
of	IN	of
her	NN	her
.	.	.
Very	RB	Very
little	JJ	little
was	VBD	be
said	VBD	say
about	IN	about
the	DT	the
matter	NN	matter
to	TO	to
Ib	NNP	Ib
,	,	,
and	CC	and
he	PRP	he
did	VBD	do
not	RB	not
refer	VB	refer
to	TO	to
it	PRP	it
;	:	;
his	PRP$	his
mother	NN	mother
,	,	,
however	RB	however
,	,	,
noticed	VBD	notice
that	IN	that
he	PRP	he
had	VBD	have
grown	VBN	grow
very	RB	very
silent	JJ	silent
and	CC	and
pensive	JJ	pensive
.	.	.
Thinking	NN	Thinking
as	IN	a
he	PRP	he
did	VBD	do
of	IN	of
old	JJ	old
times	NNS	time
,	,	,
no	DT	no
wonder	NN	wonder
the	DT	the
three	CD	three
nuts	NNS	nut
came	VBD	come
into	IN	into
his	PRP$	his
mind	NN	mind
which	WDT	which
the	DT	the
gypsy	NN	gypsy
woman	NN	woman
had	VBD	have
given	VBN	give
him	PRP	him
when	WRB	when
a	DT	a
child	NN	child
,	,	,
and	CC	and
of	IN	of
the	DT	the
two	CD	two
which	WDT	which
he	PRP	he
had	VBD	have
given	VBN	give
to	TO	to
Christina	NNP	Christina
.	.	.
These	DT	These
wishing	VBG	wish
nuts	NNS	nut
,	,	,
after	IN	after
all	DT	all
,	,	,
had	VBD	have
proved	VBN	prove
true	JJ	true
fortune-tellers	NNS	fortune-tellers
.	.	.
One	CD	One
had	VBD	have
contained	VBN	contain
a	DT	a
gilded	JJ	gilded
carriage	NN	carriage
and	CC	and
noble	JJ	noble
horses	NNS	horse
,	,	,
and	CC	and
the	DT	the
other	JJ	other
beautiful	JJ	beautiful
clothes	NNS	clothes
;	:	;
all	DT	all
of	IN	of
these	DT	these
Christina	NNP	Christina
would	MD	would
now	RB	now
have	VB	have
in	IN	in
her	PRP$	her
new	JJ	new
home	NN	home
at	IN	at
Copenhagen	NNP	Copenhagen
.	.	.
Her	PRP$	Her
part	NN	part
had	VBD	have
come	VBN	come
true	JJ	true
.	.	.
And	CC	And
for	IN	for
him	PRP	him
the	DT	the
nut	NN	nut
had	VBD	have
contained	VBN	contain
only	RB	only
black	JJ	black
earth	NN	earth
.	.	.
The	DT	The
gypsy	NN	gypsy
woman	NN	woman
had	VBD	have
said	VBD	say
it	PRP	it
was	VBD	be
the	DT	the
best	JJS	best
for	IN	for
him	PRP	him
.	.	.
Perhaps	RB	Perhaps
it	PRP	it
was	VBD	be
,	,	,
and	CC	and
this	DT	this
also	RB	also
would	MD	would
be	VB	be
fulfilled	VBN	fulfil
.	.	.
He	PRP	He
understood	VBD	understand
the	DT	the
gypsy	NN	gypsy
woman	NN	woman
's	POS	's
meaning	NN	meaning
now	RB	now
.	.	.
The	DT	The
black	JJ	black
earth-	JJ	earth-
the	DT	the
dark	JJ	dark
grave-	NN	grave-
was	VBD	be
the	DT	the
best	JJS	best
thing	NN	thing
for	IN	for
him	PRP	him
now	RB	now
.	.	.
Again	NNP	Again
years	NNS	year
passed	VBD	pass
away	RB	away
;	:	;
not	RB	not
many	JJ	many
,	,	,
but	CC	but
they	PRP	they
seemed	VBD	seem
long	JJ	long
years	NNS	year
to	TO	to
Ib	NNP	Ib
.	.	.
The	DT	The
old	JJ	old
innkeeper	NN	innkeeper
and	CC	and
his	PRP$	his
wife	NN	wife
died	VBD	die
one	CD	one
after	IN	after
the	DT	the
other	JJ	other
;	:	;
and	CC	and
the	DT	the
whole	NN	whole
of	IN	of
their	PRP$	their
property	NN	property
,	,	,
many	JJ	many
thousand	CD	thousand
dollars	NNS	dollar
,	,	,
was	VBD	be
inherited	VBN	inherit
by	IN	by
their	PRP$	their
son	NN	son
.	.	.
Christina	NNP	Christina
could	MD	could
have	VB	have
the	DT	the
golden	JJ	golden
carriage	NN	carriage
now	RB	now
,	,	,
and	CC	and
plenty	NN	plenty
of	IN	of
fine	JJ	fine
clothes	NNS	clothes
.	.	.
During	IN	During
the	DT	the
two	CD	two
long	JJ	long
years	NNS	year
which	WDT	which
followed	VBD	follow
,	,	,
no	DT	no
letter	NN	letter
came	VBD	come
from	IN	from
Christina	NNP	Christina
to	TO	to
her	PRP$	her
father	NN	father
;	:	;
and	CC	and
when	WRB	when
at	IN	at
last	JJ	last
her	PRP$	her
father	NN	father
received	VBD	receive
one	CD	one
from	IN	from
her	PRP	her
,	,	,
it	PRP	it
did	VBD	do
not	RB	not
speak	VB	speak
of	IN	of
prosperity	NN	prosperity
or	CC	or
happiness	NN	happiness
.	.	.
Poor	NNP	Poor
Christina	NNP	Christina
!	.	!
Neither	DT	Neither
she	PRP	she
nor	CC	nor
her	PRP$	her
husband	NN	husband
understood	NN	understood
how	WRB	how
to	TO	to
economize	VB	economize
or	CC	or
save	VB	save
,	,	,
and	CC	and
the	DT	the
riches	NNS	rich
brought	VBD	bring
no	DT	no
blessing	NN	blessing
with	IN	with
them	PRP	them
,	,	,
because	IN	because
they	PRP	they
had	VBD	have
not	RB	not
asked	VBN	ask
for	IN	for
it	PRP	it
.	.	.
Years	NNS	Years
passed	VBD	pass
;	:	;
and	CC	and
for	IN	for
many	JJ	many
summers	NNS	summer
the	DT	the
heath	NN	heath
was	VBD	be
covered	VBN	cover
with	IN	with
bloom	NN	bloom
;	:	;
in	IN	in
winter	NN	winter
the	DT	the
snow	NN	snow
rested	VBN	rest
upon	IN	upon
it	PRP	it
,	,	,
and	CC	and
the	DT	the
rough	JJ	rough
winds	NNS	wind
blew	VBP	blow
across	IN	across
the	DT	the
ridge	NN	ridge
under	IN	under
which	WDT	which
stood	VBD	stand
Ib	NNP	Ib
's	POS	's
sheltered	JJ	sheltered
home	NN	home
.	.	.
One	CD	One
spring	NN	spring
day	NN	day
the	DT	the
sun	NN	sun
shone	NN	shone
brightly	RB	brightly
,	,	,
and	CC	and
he	PRP	he
was	VBD	be
guiding	VBG	guide
the	DT	the
plough	NN	plough
across	IN	across
his	PRP$	his
field	NN	field
.	.	.
The	DT	The
ploughshare	JJ	ploughshare
struck	NN	struck
against	IN	against
something	NN	something
which	WDT	which
he	PRP	he
fancied	VBD	fancy
was	VBD	be
a	DT	a
firestone	NN	firestone
,	,	,
and	CC	and
then	RB	then
he	PRP	he
saw	VBD	saw
glittering	VBG	glitter
in	IN	in
the	DT	the
earth	NN	earth
a	DT	a
splinter	NN	splinter
of	IN	of
shining	VBG	shin
metal	NN	metal
which	WDT	which
the	DT	the
plough	NN	plough
had	VBD	have
cut	VBN	cut
from	IN	from
something	NN	something
which	WDT	which
gleamed	VBD	gleam
brightly	RB	brightly
in	IN	in
the	DT	the
furrow	NN	furrow
.	.	.
He	PRP	He
searched	VBD	search
,	,	,
and	CC	and
found	VBD	find
a	DT	a
large	JJ	large
golden	JJ	golden
armlet	NN	armlet
of	IN	of
superior	JJ	superior
workmanship	NN	workmanship
,	,	,
and	CC	and
it	PRP	it
was	VBD	be
evident	JJ	evident
that	IN	that
the	DT	the
plough	NN	plough
had	VBD	have
disturbed	VBN	disturb
a	DT	a
Hun	NNP	Hun
's	POS	's
grave	NN	grave
.	.	.
He	PRP	He
searched	VBD	search
further	RB	far
,	,	,
and	CC	and
found	VBD	find
more	RBR	more
valuable	JJ	valuable
treasures	NNS	treasure
,	,	,
which	WDT	which
Ib	NNP	Ib
showed	VBD	show
to	TO	to
the	DT	the
clergyman	NN	clergyman
,	,	,
who	WP	who
explained	VBD	explain
their	PRP$	their
value	NN	value
to	TO	to
him	PRP	him
.	.	.
Then	RB	Then
he	PRP	he
went	VBD	go
to	TO	to
the	DT	the
magistrate	NN	magistrate
,	,	,
who	WP	who
informed	VBD	inform
the	DT	the
president	NN	president
of	IN	of
the	DT	the
museum	NN	museum
of	IN	of
the	DT	the
discovery	NN	discovery
,	,	,
and	CC	and
advised	VBD	advise
Ib	NNP	Ib
to	TO	to
take	VB	take
the	DT	the
treasures	NNS	treasure
himself	PRP	himself
to	TO	to
the	DT	the
president	NN	president
.	.	.
``	``	``
You	PRP	You
have	VBP	have
found	VBN	find
in	IN	in
the	DT	the
earth	NN	earth
the	DT	the
best	JJS	best
thing	NN	thing
you	PRP	you
could	MD	could
find	VB	find
,	,	,
''	''	''
said	VBD	say
the	DT	the
magistrate	NN	magistrate
.	.	.
``	``	``
The	DT	The
best	JJS	best
thing	NN	thing
,	,	,
''	''	''
thought	VBD	think
Ib	NNP	Ib
;	:	;
``	``	``
the	DT	the
very	RB	very
best	JJS	best
thing	NN	thing
for	IN	for
me	PRP	me
,	,	,
-	:	-
and	CC	and
found	VBN	find
in	IN	in
the	DT	the
earth	NN	earth
!	.	!
Well	RB	Well
,	,	,
if	IN	if
it	PRP	it
really	RB	really
is	VBZ	be
so	RB	so
,	,	,
then	RB	then
the	DT	the
gypsy	NN	gypsy
woman	NN	woman
was	VBD	be
right	JJ	right
in	IN	in
her	PRP$	her
prophecy	NN	prophecy
.	.	.
''	''	''
So	RB	So
Ib	NNP	Ib
went	VBD	go
in	IN	in
the	DT	the
ferry-boat	NN	ferry-boat
from	IN	from
Aarhus	NNP	Aarhus
to	TO	to
Copenhagen	NNP	Copenhagen
.	.	.
To	TO	To
him	PRP	him
who	WP	who
had	VBD	have
only	RB	only
sailed	VBN	sail
once	RB	once
or	CC	or
twice	RB	twice
on	IN	on
the	DT	the
river	NN	river
near	IN	near
his	PRP$	his
own	JJ	own
home	NN	home
,	,	,
this	DT	this
seemed	VBD	seem
like	IN	like
a	DT	a
voyage	NN	voyage
on	IN	on
the	DT	the
ocean	NN	ocean
;	:	;
and	CC	and
at	IN	at
length	NN	length
he	PRP	he
arrived	VBD	arrive
at	IN	at
Copenhagen	NNP	Copenhagen
.	.	.
The	DT	The
value	NN	value
of	IN	of
the	DT	the
gold	NN	gold
he	PRP	he
had	VBD	have
found	VBN	find
was	VBD	be
paid	VBN	pay
to	TO	to
him	PRP	him
;	:	;
it	PRP	it
was	VBD	be
a	DT	a
large	JJ	large
sum-	JJ	sum-
six	CD	six
hundred	CD	hundred
dollars	NNS	dollar
.	.	.
Then	RB	Then
Ib	NNP	Ib
of	IN	of
the	DT	the
heath	NN	heath
went	VBD	go
out	IN	out
,	,	,
and	CC	and
wandered	VBD	wander
about	IN	about
in	IN	in
the	DT	the
great	JJ	great
city	NN	city
.	.	.
On	IN	On
the	DT	the
evening	NN	evening
before	IN	before
the	DT	the
day	NN	day
he	PRP	he
had	VBD	have
settled	VBN	settle
to	TO	to
return	VB	return
with	IN	with
the	DT	the
captain	NN	captain
of	IN	of
the	DT	the
passage-boat	NN	passage-boat
,	,	,
Ib	NNP	Ib
lost	VBD	lose
himself	PRP	himself
in	IN	in
the	DT	the
streets	NNS	street
,	,	,
and	CC	and
took	VBD	take
quite	RB	quite
a	DT	a
different	JJ	different
turning	NN	turning
to	TO	to
the	DT	the
one	NN	one
he	PRP	he
wished	VBD	wish
to	TO	to
follow	VB	follow
.	.	.
He	PRP	He
wandered	VBD	wander
on	IN	on
till	NN	till
he	PRP	he
found	VBD	find
himself	PRP	himself
in	IN	in
a	DT	a
poor	JJ	poor
street	NN	street
of	IN	of
the	DT	the
suburb	NN	suburb
called	VBD	call
Christian	NNP	Christian
's	POS	's
Haven	NNP	Haven
.	.	.
Not	RB	Not
a	DT	a
creature	NN	creature
could	MD	could
be	VB	be
seen	VBN	see
.	.	.
At	IN	At
last	JJ	last
a	DT	a
very	RB	very
little	JJ	little
girl	NN	girl
came	VBD	come
out	IN	out
of	IN	of
one	CD	one
of	IN	of
the	DT	the
wretched-looking	JJ	wretched-looking
houses	NNS	house
,	,	,
and	CC	and
Ib	NNP	Ib
asked	VBD	ask
her	PRP$	her
to	TO	to
tell	VB	tell
him	PRP	him
the	DT	the
way	NN	way
to	TO	to
the	DT	the
street	NN	street
he	PRP	he
wanted	VBD	want
;	:	;
she	PRP	she
looked	VBD	look
up	RB	up
timidly	RB	timidly
at	IN	at
him	PRP	him
,	,	,
and	CC	and
began	VBD	begin
to	TO	to
cry	VB	cry
bitterly	RB	bitterly
.	.	.
He	PRP	He
asked	VBD	ask
her	PRP$	her
what	WP	what
was	VBD	be
the	DT	the
matter	NN	matter
;	:	;
but	CC	but
what	WP	what
she	PRP	she
said	VBD	say
he	PRP	he
could	MD	could
not	RB	not
understand	VB	understand
.	.	.
So	RB	So
he	PRP	he
went	VBD	go
along	IN	along
the	DT	the
street	NN	street
with	IN	with
her	PRP$	her
;	:	;
and	CC	and
as	IN	a
they	PRP	they
passed	VBD	pass
under	IN	under
a	DT	a
lamp	NN	lamp
,	,	,
the	DT	the
light	NN	light
fell	VBD	fell
on	IN	on
the	DT	the
little	JJ	little
girl	NN	girl
's	POS	's
face	NN	face
.	.	.
A	DT	A
strange	JJ	strange
sensation	NN	sensation
came	VBD	come
over	IN	over
Ib	NNP	Ib
,	,	,
as	IN	a
he	PRP	he
caught	VBD	catch
sight	NN	sight
of	IN	of
it	PRP	it
.	.	.
The	DT	The
living	NN	living
,	,	,
breathing	VBG	breathe
embodiment	NN	embodiment
of	IN	of
Little	NNP	Little
Christina	NNP	Christina
stood	VBD	stand
before	IN	before
him	PRP	him
,	,	,
just	RB	just
as	IN	a
he	PRP	he
remembered	VBD	remember
her	PRP	her
in	IN	in
the	DT	the
days	NNS	day
of	IN	of
her	PRP$	her
childhood	NN	childhood
.	.	.
He	PRP	He
followed	VBD	follow
the	DT	the
child	NN	child
to	TO	to
the	DT	the
wretched	VBN	wretched
house	NN	house
,	,	,
and	CC	and
ascended	VBD	ascend
the	DT	the
narrow	NN	narrow
,	,	,
crazy	JJ	crazy
staircase	NN	staircase
which	WDT	which
led	VBD	lead
to	TO	to
a	DT	a
little	JJ	little
garret	NN	garret
in	IN	in
the	DT	the
roof	NN	roof
.	.	.
The	DT	The
air	NN	air
in	IN	in
the	DT	the
room	NN	room
was	VBD	be
heavy	JJ	heavy
and	CC	and
stifling	JJ	stifling
,	,	,
no	DT	no
light	NN	light
was	VBD	be
burning	VBG	burn
,	,	,
and	CC	and
from	IN	from
one	CD	one
corner	NN	corner
came	VBD	come
sounds	NNS	sound
of	IN	of
moaning	NN	moaning
and	CC	and
sighing	NN	sighing
.	.	.
It	PRP	It
was	VBD	be
the	DT	the
mother	NN	mother
of	IN	of
the	DT	the
child	NN	child
who	WP	who
lay	VBP	lay
there	RB	there
on	IN	on
a	DT	a
miserable	JJ	miserable
bed	NN	bed
.	.	.
With	IN	With
the	DT	the
help	NN	help
of	IN	of
a	DT	a
match	NN	match
,	,	,
Ib	NNP	Ib
struck	VBD	strike
a	DT	a
light	NN	light
,	,	,
and	CC	and
approached	VBD	approach
her	PRP	her
.	.	.
``	``	``
Can	MD	Can
I	PRP	I
be	VB	be
of	IN	of
any	DT	any
service	NN	service
to	TO	to
you	PRP	you
?	.	?
''	''	''
he	PRP	he
asked	VBD	ask
.	.	.
``	``	``
This	DT	This
little	JJ	little
girl	NN	girl
brought	VBD	bring
me	PRP	me
up	RP	up
here	RB	here
;	:	;
but	CC	but
I	PRP	I
am	VBP	be
a	DT	a
stranger	NN	stranger
in	IN	in
this	DT	this
city	NN	city
.	.	.
Are	NNP	Are
there	EX	there
no	DT	no
neighbors	NNS	neighbor
or	CC	or
any	DT	any
one	CD	one
whom	WP	whom
I	PRP	I
can	MD	can
call	VB	call
?	.	?
''	''	''
Then	RB	Then
he	PRP	he
raised	VBD	raise
the	DT	the
head	NN	head
of	IN	of
the	DT	the
sick	JJ	sick
woman	NN	woman
,	,	,
and	CC	and
smoothed	VBD	smooth
her	PRP$	her
pillow	NN	pillow
.	.	.
He	PRP	He
started	VBD	start
as	IN	a
he	PRP	he
did	VBD	do
so	RB	so
.	.	.
It	PRP	It
was	VBD	be
Christina	NNP	Christina
of	IN	of
the	DT	the
heath	NN	heath
!	.	!
No	DT	No
one	NN	one
had	VBD	have
mentioned	VBN	mention
her	PRP$	her
name	NN	name
to	TO	to
Ib	NNP	Ib
for	IN	for
years	NNS	year
;	:	;
it	PRP	it
would	MD	would
have	VB	have
disturbed	VBN	disturb
his	PRP$	his
peace	NN	peace
of	IN	of
mind	NN	mind
,	,	,
especially	RB	especially
as	IN	a
the	DT	the
reports	NNS	report
respecting	VBG	respect
her	PRP$	her
were	VBD	be
not	RB	not
good	JJ	good
.	.	.
The	DT	The
wealth	NN	wealth
which	WDT	which
her	PRP$	her
husband	NN	husband
had	VBD	have
inherited	VBN	inherit
from	IN	from
his	PRP$	his
parents	NNS	parent
had	VBD	have
made	VBN	make
him	PRP	him
proud	JJ	proud
and	CC	and
arrogant	JJ	arrogant
.	.	.
He	PRP	He
had	VBD	have
given	VBN	give
up	RP	up
his	PRP$	his
certain	JJ	certain
appointment	NN	appointment
,	,	,
and	CC	and
travelled	VBD	travel
for	IN	for
six	CD	six
months	NNS	month
in	IN	in
foreign	JJ	foreign
lands	NNS	land
,	,	,
and	CC	and
,	,	,
on	IN	on
his	PRP$	his
return	NN	return
,	,	,
had	VBD	have
lived	VBN	live
in	IN	in
great	JJ	great
style	NN	style
,	,	,
and	CC	and
got	VBD	get
into	IN	into
terrible	JJ	terrible
debt	NN	debt
.	.	.
For	IN	For
a	DT	a
time	NN	time
he	PRP	he
had	VBD	have
trembled	VBN	tremble
on	IN	on
the	DT	the
high	JJ	high
pedestal	NN	pedestal
on	IN	on
which	WDT	which
he	PRP	he
had	VBD	have
placed	VBN	place
himself	PRP	himself
,	,	,
till	NN	till
at	IN	at
last	JJ	last
he	PRP	he
toppled	VBD	topple
over	RB	over
,	,	,
and	CC	and
ruin	NN	ruin
came	VBD	come
.	.	.
His	PRP$	His
numerous	JJ	numerous
merry	NN	merry
companions	NNS	companion
,	,	,
and	CC	and
the	DT	the
visitors	NNS	visitor
at	IN	at
his	PRP$	his
table	NN	table
,	,	,
said	VBD	say
it	PRP	it
served	VBD	serve
him	PRP	him
right	RB	right
,	,	,
for	IN	for
he	PRP	he
had	VBD	have
kept	VBN	keep
house	NN	house
like	IN	like
a	DT	a
madman	NN	madman
.	.	.
One	CD	One
morning	NN	morning
his	PRP$	his
corpse	NN	corpse
was	VBD	be
found	VBN	find
in	IN	in
the	DT	the
canal	NN	canal
.	.	.
The	DT	The
cold	JJ	cold
hand	NN	hand
of	IN	of
death	NN	death
had	VBD	have
already	RB	already
touched	VBN	touch
the	DT	the
heart	NN	heart
of	IN	of
Christina	NNP	Christina
.	.	.
Her	PRP$	Her
youngest	JJS	young
child	NN	child
,	,	,
looked	VBD	look
for	IN	for
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
prosperity	NN	prosperity
,	,	,
had	VBD	have
sunk	VBN	sink
into	IN	into
the	DT	the
grave	NN	grave
when	WRB	when
only	RB	only
a	DT	a
few	JJ	few
weeks	NNS	week
old	JJ	old
;	:	;
and	CC	and
at	IN	at
last	JJ	last
Christina	NNP	Christina
herself	PRP	herself
became	VBD	become
sick	JJ	sick
unto	JJ	unto
death	NN	death
,	,	,
and	CC	and
lay	NN	lay
,	,	,
forsaken	VBN	forsake
and	CC	and
dying	VBG	die
,	,	,
in	IN	in
a	DT	a
miserable	JJ	miserable
room	NN	room
,	,	,
amid	IN	amid
poverty	NN	poverty
she	PRP	she
might	MD	might
have	VB	have
borne	NN	borne
in	IN	in
her	PRP$	her
younger	JJR	young
days	NNS	day
,	,	,
but	CC	but
which	WDT	which
was	VBD	be
now	RB	now
more	RBR	more
painful	JJ	painful
to	TO	to
her	PRP$	her
from	IN	from
the	DT	the
luxuries	NNS	luxury
to	TO	to
which	WDT	which
she	PRP	she
had	VBD	have
lately	RB	lately
been	VBN	be
accustomed	VBN	accustom
.	.	.
It	PRP	It
was	VBD	be
her	PRP	her
eldest	JJS	eldest
child	NN	child
,	,	,
also	RB	also
a	DT	a
Little	JJ	Little
Christina	NNP	Christina
,	,	,
whom	WP	whom
Ib	NNP	Ib
had	VBD	have
followed	VBN	follow
to	TO	to
her	PRP$	her
home	NN	home
,	,	,
where	WRB	where
she	PRP	she
suffered	VBD	suffer
hunger	NN	hunger
and	CC	and
poverty	NN	poverty
with	IN	with
her	PRP$	her
mother	NN	mother
.	.	.
It	PRP	It
makes	VBZ	make
me	PRP	me
unhappy	JJ	unhappy
to	TO	to
think	VB	think
that	IN	that
I	PRP	I
shall	MD	shall
die	VB	die
,	,	,
and	CC	and
leave	VBP	leave
this	DT	this
poor	JJ	poor
child	NN	child
,	,	,
''	''	''
sighed	VBD	sigh
she	PRP	she
.	.	.
``	``	``
Oh	UH	Oh
,	,	,
what	WP	what
will	MD	will
become	VB	become
of	IN	of
her	PRP	her
?	.	?
''	''	''
She	PRP	She
could	MD	could
say	VB	say
no	DT	no
more	RBR	more
.	.	.
Then	RB	Then
Ib	NNP	Ib
brought	VBD	bring
out	RP	out
another	DT	another
match	NN	match
,	,	,
and	CC	and
lighted	VBD	light
a	DT	a
piece	NN	piece
of	IN	of
candle	NN	candle
which	WDT	which
he	PRP	he
found	VBD	find
in	IN	in
the	DT	the
room	NN	room
,	,	,
and	CC	and
it	PRP	it
threw	VBD	throw
a	DT	a
glimmering	NN	glimmering
light	NN	light
over	IN	over
the	DT	the
wretched	JJ	wretched
dwelling	NN	dwelling
.	.	.
Ib	NNP	Ib
looked	VBD	look
at	IN	at
the	DT	the
little	JJ	little
girl	NN	girl
,	,	,
and	CC	and
thought	NN	thought
of	IN	of
Christina	NNP	Christina
in	IN	in
her	PRP$	her
young	JJ	young
days	NNS	day
.	.	.
For	IN	For
her	PRP$	her
sake	NN	sake
,	,	,
could	MD	could
he	PRP	he
not	RB	not
love	VB	love
this	DT	this
child	NN	child
,	,	,
who	WP	who
was	VBD	be
a	DT	a
stranger	NN	stranger
to	TO	to
him	PRP	him
?	.	?
As	IN	As
he	PRP	he
thus	RB	thus
reflected	VBD	reflect
,	,	,
the	DT	the
dying	VBG	die
woman	NN	woman
opened	VBD	open
her	PRP	her
eyes	NNS	eye
,	,	,
and	CC	and
gazed	VBN	gaze
at	IN	at
him	PRP	him
.	.	.
Did	NNP	Did
she	PRP	she
recognize	VB	recognize
him	PRP	him
?	.	?
He	PRP	He
never	RB	never
knew	VBD	know
;	:	;
for	IN	for
not	RB	not
another	DT	another
word	NN	word
escaped	VBD	escape
her	PRP$	her
lips	NNS	lip
.	.	.
*	JJ	*
*	NNP	*
*	NNP	*
*	NNP	*
*	NNP	*
*	NNP	*
*	NN	*
In	IN	In
the	DT	the
forest	NN	forest
by	IN	by
the	DT	the
river	NN	river
Gudenau	NNP	Gudenau
,	,	,
not	RB	not
far	RB	far
from	IN	from
the	DT	the
heath	NN	heath
,	,	,
and	CC	and
beneath	IN	beneath
the	DT	the
ridge	NN	ridge
of	IN	of
land	NN	land
,	,	,
stood	VBD	stand
the	DT	the
little	JJ	little
farm	NN	farm
,	,	,
newly	RB	newly
painted	VBN	paint
and	CC	and
whitewashed	VBN	whitewash
.	.	.
The	DT	The
air	NN	air
was	VBD	be
heavy	JJ	heavy
and	CC	and
dark	JJ	dark
;	:	;
there	EX	there
were	VBD	be
no	DT	no
blossoms	NNS	blossom
on	IN	on
the	DT	the
heath	NN	heath
;	:	;
the	DT	the
autumn	NN	autumn
winds	VBZ	wind
whirled	VBD	whirl
the	DT	the
yellow	JJ	yellow
leaves	VBZ	leave
towards	IN	towards
the	DT	the
boatman	NN	boatman
's	POS	's
hut	NN	hut
,	,	,
in	IN	in
which	WDT	which
strangers	NNS	stranger
dwelt	VBP	dwell
;	:	;
but	CC	but
the	DT	the
little	JJ	little
farm	NN	farm
stood	VBD	stand
safely	RB	safely
sheltered	VBN	shelter
beneath	IN	beneath
the	DT	the
tall	JJ	tall
trees	NNS	tree
and	CC	and
the	DT	the
high	JJ	high
ridge	NN	ridge
.	.	.
The	DT	The
turf	NN	turf
blazed	VBN	blaze
brightly	RB	brightly
on	IN	on
the	DT	the
hearth	NN	hearth
,	,	,
and	CC	and
within	IN	within
was	VBD	be
sunlight	VBN	sunlight
,	,	,
the	DT	the
sparkling	VBG	sparkle
light	NN	light
from	IN	from
the	DT	the
sunny	JJ	sunny
eyes	NNS	eye
of	IN	of
a	DT	a
child	NN	child
;	:	;
the	DT	the
birdlike	NN	birdlike
tones	NNS	tone
from	IN	from
the	DT	the
rosy	JJ	rosy
lips	NNS	lip
ringing	VBG	ring
like	IN	like
the	DT	the
song	NN	song
of	IN	of
a	DT	a
lark	NN	lark
in	IN	in
spring	NN	spring
.	.	.
All	DT	All
was	VBD	be
life	NN	life
and	CC	and
joy	NN	joy
.	.	.
Little	JJ	Little
Christina	NNP	Christina
sat	VBD	sit
on	IN	on
Ib	NNP	Ib
's	POS	's
knee	NN	knee
.	.	.
Ib	NNP	Ib
was	VBD	be
to	TO	to
her	PRP$	her
both	DT	both
father	NN	father
and	CC	and
mother	NN	mother
;	:	;
her	PRP$	her
own	JJ	own
parents	NNS	parent
had	VBD	have
vanished	VBN	vanish
from	IN	from
her	PRP$	her
memory	NN	memory
,	,	,
as	IN	a
a	DT	a
dream-picture	JJ	dream-picture
vanishes	NNS	vanishes
alike	RB	alike
from	IN	from
childhood	NN	childhood
and	CC	and
age	NN	age
.	.	.
Ib	NNP	Ib
's	POS	's
house	NN	house
was	VBD	be
well	RB	well
and	CC	and
prettily	RB	prettily
furnished	VBD	furnish
;	:	;
for	IN	for
he	PRP	he
was	VBD	be
a	DT	a
prosperous	JJ	prosperous
man	NN	man
now	RB	now
,	,	,
while	IN	while
the	DT	the
mother	NN	mother
of	IN	of
the	DT	the
little	JJ	little
girl	NN	girl
rested	VBN	rest
in	IN	in
the	DT	the
churchyard	NN	churchyard
at	IN	at
Copenhagen	NNP	Copenhagen
,	,	,
where	WRB	where
she	PRP	she
had	VBD	have
died	VBN	die
in	IN	in
poverty	NN	poverty
.	.	.
Ib	NNP	Ib
had	VBD	have
money	NN	money
now-	JJ	now-
money	NN	money
which	WDT	which
had	VBD	have
come	VBN	come
to	TO	to
him	PRP	him
out	IN	out
of	IN	of
the	DT	the
black	JJ	black
earth	NN	earth
;	:	;
and	CC	and
he	PRP	he
had	VBD	have
Christina	NNP	Christina
for	IN	for
his	PRP$	his
own	JJ	own
,	,	,
after	IN	after
all	DT	all
.	.	.
